钰 钰 [yu4] /trésor/
钱 钱 [qian2] /argent/monnaie/somme/richesse/
钳 钳 [qian2] /pinces/tenailles/
钴 钴 [gu3] /cobalt/
钵 钵 [bo1] /bol/bol d'aumône (écuelle d'aumône)/
钶 钶 [ke1] /colombium/(ancien nom du niobium)/
钷 钷 [po3] /prométhium/
钸 钸 [bu4] /Plutonium/
钹 钹 [bo2] /cymbales/
钺 钺 [yue4] /hache de guerre/
钻 钻 [zuan4] /vrille/tarière/
端 端 [duan1] /extrémité/bout/motif/cause/droit/correct/porter à deux mains/
钼 钼 [mu4] /molybdène/
钽 钽 [tan3] /tantale (chimie)/
钾 钾 [jia3] /potassium/
钿 钿 [tian2] /ornement en métal/
䗖 䗖 [di4] /arc-en-ciel/
铀 铀 [you2] /uranium/
铁 铁 [tie3] /fer/objet en fer/arme/armure/outil/gris (couleur du métal)/dur comme le fer/inébranlable/violent/cruel/dur/complètement/
铂 铂 [bo2] /platine/
铃 铃 [ling2] /clochette/sonnette/
铄 铄 [shuo4] /fondre/
铅 铅 [qian1] /plomb/
铆 铆 [mao3] /riveter/
铈 铈 [shi4] /cérium/
铊 铊 [ta1] /thallium/
铋 铋 [bi4] /bismuth/
铌 铌 [ni2] /niobium/
铍 铍 [pi2] /béryllium/
铎 铎 [duo2] /grosse cloche/
笃 笃 [du3] /sincère/ardent/grave/
铐 铐 [kao4] /menottes/passer les menottes/
铑 铑 [lao3] /rhodium/
铒 铒 [er3] /erbium/
铓 铓 [mang2] /pointe acérée/pointe d'une épée/
铔 铔 [ya4] /ammonium (arch.)/
铕 铕 [you3] /europium/
铗 铗 [jia2] /pinces pour utiliser avec un feu/épée/
笋 笋 [sun3] /pousse de bambou/
铙 铙 [nao2] /clochette militaire pour arrêter les tambours/cymbales/
铛 铛 [cheng1] /ding!/
铜 铜 [tong2] /cuivre/laiton/bronze/
铝 铝 [lu:3] /aluminium/
铟 铟 [yin1] /indium/
铠 铠 [kai3] /Armure (équipement)/
笔 笔 [bi3] /stylo/crayon/pinceau/écrire ou composer/traits composant les caractères chinois/(classificateur des sommes d'argent et des affaires financières)/
铡 铡 [zha2] /hacher/
笕 笕 [jian3] /conduit en bambou/pipe à eau en bambou/
铢 铢 [zhu1] /baht (unité de poids)/
